Cm,Ch,Bm,Bh,T,sR,sG,sB
0.001,0.00982769,0.444444,1,0.17,244.582,196.898,179.363
0.001,0.00982769,0.444444,0.833333,0.21,245.94,198.667,180.068
0.001,0.00982769,0.444444,1,0.21,245.14,198.179,181.694
0.001,0.00982769,0.444444,1,0.25,245.761,199.264,183.555
0.001,0.00982769,0.694444,0,0.05,247.917,196.1,163.288
0.001,0.00982769,0.444444,1,0.01,240.676,190.178,163.898
0.001,0.00982769,0.444444,0.833333,0.25,246.594,199.818,182.239
0.001,0.00982769,0.444444,1,0.05,242.174,192.367,169.728
0.001,0.00982769,0.694444,0,0.09,248.631,197.477,167.381
0.001,0.00982769,0.694444,0,0.13,249.341,198.938,170.829
0.001,0.00982769,0.694444,0.333333,0.01,244.463,192.509,157.39
0.001,0.00982769,0.694444,0.333333,0.05,245.412,194.659,163.494
0.001,0.00982769,0.694444,0.166667,0.25,249.342,201.409,178.35
0.001,0.00982769,0.694444,0,0.17,249.749,200.252,173.162
0.001,0.00982769,0.694444,0,0.21,250.312,201.093,176.289
0.001,0.00982769,0.694444,0.333333,0.17,247.557,198.634,174.205
0.001,0.00982769,0.694444,0,0.25,250.682,202.09,177.962
0.001,0.00982769,0.694444,0.333333,0.21,248.09,199.835,176.793
0.001,0.00982769,0.694444,0.166667,0.01,245.65,193.443,156.834
0.001,0.00982769,0.694444,0.333333,0.25,248.529,200.794,178.698
0.001,0.00982769,0.694444,0.5,0.01,243.473,191.566,158.587
0.001,0.00982769,0.694444,0.166667,0.05,246.738,195.375,162.718
0.001,0.00982769,0.694444,0.166667,0.09,247.341,196.7,167.38
0.001,0.00982769,0.694444,0.166667,0.13,248.089,198.091,170.399
0.001,0.00982769,0.694444,0.166667,0.17,248.523,199.183,173.842
0.001,0.00982769,0.694444,0.166667,0.21,248.981,200.356,176.284
0.001,0.00982769,0.694444,0.5,0.09,245.214,195.523,168.739
0.001,0.00982769,0.694444,0.333333,0.09,246.266,196.163,168.083
0.001,0.00982769,0.694444,0.333333,0.13,246.933,197.466,171.183
0.001,0.00982769,0.694444,0.5,0.13,246.105,197.021,171.827
0.001,0.00982769,0.694444,0.5,0.21,247.366,199.727,177.167
0.001,0.00982769,0.694444,0.666667,0.05,243.667,193.351,165.94
0.001,0.00982769,0.694444,0.5,0.17,246.772,198.346,174.598
0.001,0.00982769,0.694444,0.666667,0.01,242.391,191.139,159.982
0.001,0.00982769,0.694444,0.5,0.05,244.527,193.855,164.195
0.001,0.00982769,0.694444,0.666667,0.09,244.368,195.187,169.993
0.001,0.00982769,0.694444,0.833333,0.01,241.438,190.473,161.947
0.001,0.00982769,0.694444,0.666667,0.25,246.967,200.217,180.574
0.001,0.00982769,0.694444,0.5,0.25,247.972,200.65,179.396
0.001,0.00982769,0.694444,0.666667,0.13,245.4,196.696,173.124
0.001,0.00982769,0.694444,0.666667,0.17,245.926,197.991,175.89
0.001,0.00982769,0.694444,0.666667,0.21,246.581,198.991,178.547
0.001,0.00982769,0.694444,0.833333,0.05,242.842,192.617,167.906
0.001,0.00982769,0.694444,0.833333,0.09,243.45,194.656,171.949
0.001,0.00982769,0.694444,0.833333,0.13,244.367,196.036,175.287
0.001,0.00982769,0.694444,1,0.05,241.645,192.27,169.799
0.001,0.00982769,0.694444,0.833333,0.25,246.254,199.561,182.181
0.001,0.00982769,0.694444,1,0.13,243.561,195.528,177.119
0.001,0.00982769,0.694444,1,0.17,244.326,196.881,179.502
0.001,0.00982769,1,0,0.13,248.76,199.093,170.999
0.001,0.00982769,0.694444,0.833333,0.17,244.93,197.312,177.903
0.001,0.00982769,0.694444,0.833333,0.21,245.657,198.432,180.301
0.001,0.00982769,0.694444,1,0.01,240.396,189.783,164.424
0.001,0.00982769,0.694444,1,0.09,242.555,193.959,173.635
0.001,0.00982769,0.694444,1,0.21,244.763,197.903,181.728
0.001,0.00982769,1,0,0.25,249.983,201.712,178.429
0.001,0.00982769,0.694444,1,0.25,245.24,199.018,183.553
0.001,0.00982769,1,0.166667,0.01,245.44,193.19,156.779
0.001,0.00982769,1,0.166667,0.05,246.244,195.174,163.202
0.001,0.00982769,1,0.166667,0.09,247.014,196.494,167.417
0.001,0.00982769,1,0,0.01,246.609,194.386,156.928
0.001,0.00982769,1,0.166667,0.13,247.518,197.827,171.226
0.001,0.00982769,1,0,0.05,247.33,196.206,163.043
0.001,0.00982769,1,0.166667,0.21,248.768,200.048,175.961
0.001,0.00982769,1,0,0.09,248.036,197.815,167.29
0.001,0.00982769,1,0.333333,0.01,244.218,192.339,157.258
0.001,0.00982769,1,0,0.17,249.145,199.858,173.729
0.001,0.00982769,1,0,0.21,249.542,200.735,175.989
0.001,0.00982769,1,0.166667,0.25,249.181,201.044,178.068
0.001,0.00982769,1,0.166667,0.17,248.254,198.853,173.686
0.001,0.00982769,1,0.333333,0.21,247.49,199.476,176.096
0.001,0.00982769,1,0.333333,0.25,248.009,200.399,178.333
0.001,0.00982769,1,0.5,0.01,243.2,191.52,158.179
0.001,0.00982769,1,0.5,0.05,244.195,193.485,164.24
0.001,0.00982769,1,0.333333,0.05,245.07,194.315,163.421
0.001,0.00982769,1,0.5,0.09,244.971,195.399,168.105
0.001,0.00982769,1,0.5,0.13,245.516,196.429,171.58
0.001,0.00982769,1,0.5,0.17,246.18,197.679,174.659
0.001,0.00982769,1,0.333333,0.09,245.893,195.943,167.358
