Cm,Ch,Bm,Bh,T,sR,sG,sB
0.00319587,0.115084,0.5,0.75,0.25,6.43232,4.43361,4.37152
0.00319587,0.277834,0.5,0.75,0.25,4.7208,3.06224,3.63133
0.00319587,0.190618,0.5,0.75,0.25,5.56937,3.54088,3.88994
0.00319587,0.175997,0.5,0.75,0.25,5.83629,3.74468,4.08085
0.00319587,0.23998,0.5,0.75,0.25,4.92908,3.28148,3.74332
0.00319587,0.222573,0.5,0.75,0.25,5.22194,3.35605,3.80913
0.00319587,0.206132,0.5,0.75,0.25,5.21716,3.42624,3.93955
0.00319587,0.32,0.5,0.75,0.25,4.48781,2.83386,3.47693
0.00319587,0.137144,0.5,0.75,0.25,6.17281,4.26026,4.21784
0.00433583,0.001,0.5,0.75,0.25,10.149,8.80608,6.83209
0.00433583,0.00172959,0.5,0.75,0.25,10.024,8.5529,6.80455
0.00433583,0.00221673,0.5,0.75,0.25,10.0938,8.47693,6.55484
0.00433583,0.00280018,0.5,0.75,0.25,9.93602,8.38058,6.60711
0.00433583,0.00349187,0.5,0.75,0.25,9.71082,8.38187,6.49962
0.00319587,0.298359,0.5,0.75,0.25,4.50576,2.95843,3.53876
0.00319587,0.258387,0.5,0.75,0.25,4.90931,3.13753,3.64391
0.00433583,0.00634605,0.5,0.75,0.25,9.78482,7.81354,6.3681
0.00319587,0.162234,0.5,0.75,0.25,5.8986,3.94536,4.03511
0.00433583,0.00904004,0.5,0.75,0.25,9.39609,7.66027,6.06581
0.00433583,0.0255268,0.5,0.75,0.25,8.43342,6.40038,5.25888
0.00433583,0.00760388,0.5,0.75,0.25,9.26633,7.82578,6.19992
0.00433583,0.00132752,0.5,0.75,0.25,10.1232,8.63212,6.68296
0.00433583,0.00430441,0.5,0.75,0.25,9.80186,8.1616,6.26988
0.00433583,0.0125124,0.5,0.75,0.25,9.10547,7.34365,5.78614
0.00433583,0.00525113,0.5,0.75,0.25,9.49922,7.92346,6.36015
0.00433583,0.0467429,0.5,0.75,0.25,7.62587,5.39395,4.81509
0.00433583,0.0417114,0.5,0.75,0.25,7.74684,5.60923,4.89737
0.00433583,0.0106706,0.5,0.75,0.25,9.29594,7.54299,5.92714
0.00433583,0.014583,0.5,0.75,0.25,8.89803,7.15046,5.67297
0.00433583,0.0581572,0.5,0.75,0.25,7.41651,5.10699,4.55646
0.00433583,0.064591,0.5,0.75,0.25,7.28985,4.85995,4.53598
0.00433583,0.0223524,0.5,0.75,0.25,8.54713,6.4575,5.50409
0.00433583,0.0522165,0.5,0.75,0.25,7.40828,5.27286,4.71113
0.00433583,0.0715445,0.5,0.75,0.25,7.02021,4.83178,4.52148
0.00433583,0.0169004,0.5,0.75,0.25,8.83657,7.01616,5.66072
0.00433583,0.0194837,0.5,0.75,0.25,8.73803,6.7182,5.42601
0.00433583,0.0790447,0.5,0.75,0.25,6.99278,4.55606,4.36866
0.00433583,0.0290279,0.5,0.75,0.25,8.14912,6.02913,5.217
0.00433583,0.0957984,0.5,0.75,0.25,6.35987,4.39194,4.35752
0.00433583,0.0328773,0.5,0.75,0.25,8.07074,5.97684,5.15081
0.00433583,0.10511,0.5,0.75,0.25,6.40315,4.21934,4.03593
0.00433583,0.0370974,0.5,0.75,0.25,7.95587,5.68817,4.99632
0.00433583,0.115084,0.5,0.75,0.25,6.21208,4.14009,3.91702
0.00433583,0.125752,0.5,0.75,0.25,6.11335,4.00679,3.91121
0.00433583,0.149294,0.5,0.75,0.25,5.75169,3.78519,3.66849
0.00433583,0.137144,0.5,0.75,0.25,5.94395,3.90365,3.9281
0.00433583,0.175997,0.5,0.75,0.25,5.42533,3.55612,3.62327
0.00433583,0.206132,0.5,0.75,0.25,4.99164,3.17733,3.51702
0.00433583,0.222573,0.5,0.75,0.25,4.95028,3.09393,3.53434
0.00433583,0.0871198,0.5,0.75,0.25,6.6785,4.42592,4.31273
0.00433583,0.162234,0.5,0.75,0.25,5.75547,3.61497,3.63261
0.00433583,0.190618,0.5,0.75,0.25,5.31593,3.39262,3.62477
0.00433583,0.23998,0.5,0.75,0.25,4.72346,3.06005,3.4058
0.00571898,0.00132752,0.5,0.75,0.25,9.62274,7.92336,6.09271
0.00571898,0.00349187,0.5,0.75,0.25,9.32932,7.64154,5.82195
0.00571898,0.00525113,0.5,0.75,0.25,9.2084,7.50152,5.73499
0.00571898,0.001,0.5,0.75,0.25,9.62703,7.99127,6.07423
0.00571898,0.00634605,0.5,0.75,0.25,9.06112,7.32864,5.59685
0.00571898,0.0106706,0.5,0.75,0.25,8.67771,6.9475,5.21281
0.00433583,0.298359,0.5,0.75,0.25,4.42567,2.71491,3.24574
0.00433583,0.32,0.5,0.75,0.25,4.28021,2.59326,3.16434
0.00433583,0.277834,0.5,0.75,0.25,4.52373,2.77517,3.26756
0.00433583,0.258387,0.5,0.75,0.25,4.62839,2.86373,3.23385
0.00571898,0.00430441,0.5,0.75,0.25,9.09136,7.54817,5.92188
0.00571898,0.00280018,0.5,0.75,0.25,9.29038,7.69948,6.00834
0.00571898,0.014583,0.5,0.75,0.25,8.47042,6.52726,5.14756
0.00571898,0.0194837,0.5,0.75,0.25,8.04355,6.20173,5.00037
0.00571898,0.00904004,0.5,0.75,0.25,8.80066,6.98402,5.36105
0.00571898,0.0255268,0.5,0.75,0.25,7.74626,5.78579,4.76534
0.00571898,0.0328773,0.5,0.75,0.25,7.65284,5.56067,4.5477
0.00571898,0.0290279,0.5,0.75,0.25,7.61343,5.72566,4.63936
0.00571898,0.00172959,0.5,0.75,0.25,9.64299,7.80408,6.09248
0.00571898,0.00760388,0.5,0.75,0.25,8.80105,7.33998,5.48737
0.00571898,0.0417114,0.5,0.75,0.25,7.57859,5.18471,4.34539
